Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
9029.0,36.829288150958746,9679.0,9698.0,8865.0,5.3106702869e-313,9084.0,9365.0,8973.0,9101.0,9222.0,9310.0,9382.0,9442.0,9500.0,9552.0,9600.0,9645.0,9977.0,9977.0,6708.0,8.869402092481529,12.284439185792921,9048.0,9022.0,16.902320653590028,9405.0,8298.0,10295.0,9648.0,,716.4349975585938,1992.051025390625,9046.0,9089.0,9075.0,13.603293756759381,4.025530682239315,59868.37283548116,-929.9064798951148,60798.279315376276,175.0,85.90000000000002,1625.256469963495,1474.859905132721,1369.192586716036,9222.0,9101.0,71.46674464576698,9336.0,3801.930601829094,3426.202977591048,300.0,3661.7691488826977,8973.0,177.0,80.28305004661605,73.98052031074346,0.4533333333333333,2.353333333333335,0.25,0.3866666666666667,1.21,8910.0,0.0,0.81,166903.49501542948,11132.614625385992,155770.8803900435,9216.0,12.97297297297281,5.383795925397147,8.408774353177908,7.204316858305776,217.6474344550216,133.456202067393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30225.887951374047,25991.847743701932,4234.0402076721175,,,,,,9382.0,9310.0,,,,,,,,,,,,,,,,,,,227689.8631907591,196432.1032518284,31257.759938930663,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20061.685676822068,2734.738916644454,17326.94676017761,,,,,,9500.0,9442.0,,,,,,,,,,,,,,,,,,,208052.54685331212,27087.65369398683,180964.8931593252,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300.284421811999,8461.80215215683,1838.4822696551682,,,,,,9600.0,9552.0,,,,,,,,,,,,,,,,,,,136630.2138639204,111835.95929813599,24794.25456578437,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7817.0674600452185,1196.114420422912,6620.953039622306,,,,,,9977.0,9645.0,,,,,,,,,,,,,,,,,,,118690.6297699326,19305.90591295679,99384.72385697576,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7454.7044117927535,7082.697103691103,372.00730810165413,,,,,,,9977.0,,,,,,,,,,,,,,,,,,,119447.4339678117,113778.8136558024,5668.620312009322,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5576.3801581621165,95.40912144184112,5480.971036720276,,,,,,,,,,,,,,,,,,,,,,,,,,100760.81999217019,1620.231831048945,99140.58816112127,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.865790104866,4058.413191318512,-98.54740121364591,,,,,,,,,,,,,,,,,,,,,,,,,,78053.22632613071,80048.88173148595,-1995.655405355239,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614.876566529274,-896.9695009946823,3511.846067523957,,,,,,,,,,,,,,,,,,,,,,,,,,53418.24719079156,-19224.01295775042,72642.26014854197,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2632.441001415253,40491.26692523956,-43123.70792665482,,,,,,,,,,,,,,,,,,,,,,,,,,-8401.632951469555,74867.23540961447,-83268.86836108404,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
