alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider,Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
0.0265659987484533+0i,0.006013169212195635,0.2862777310162108,0.4046206247891661,-3.802193368540596e-06,-1.192338574840246e-05,921.6517595707312,-68.62598901859808,-256.2612443911744,31.16541468544856,-59.703364208238966,647.8825674497509,71.42505330964063,-256.2612443911744,647.8825674497509,-0.9593653086285702,0.9898343370652104,0.4249124672001693,69.51278484289735,-45.48637087943343,114.9991557223308,-2.041420760236014,1.335823647850273,-3.377244408086288,4.472415256166138,256.25051840824057,-8.093955358193035,-460.03260661023216,-0.02936755828226038,0.003333333333333334,2.371016887597218,0.0,0.0,0.0,0.0,0.0
0.02814158986662542+0i,-0.01455921514633474,0.2862809311458121,0.4046474858841099,-9.004954634739273e-08,-9.067812445306966e-06,914.078602477258,-66.53699576502443,-248.7636478752444,29.348460158619837,-65.819763565133,647.8904555383248,69.31089859303772,-248.7636478752444,647.8904555383248,-0.9598276158969128,0.9892918417390532,0.436643858177405,70.84500836019676,-44.15554749785586,115.00055585805259,-2.1370939103058895,1.3319858921338992,-3.469079802439788,4.472218797132284,256.23926213475363,-8.094151817226889,-460.04386288371916,-0.03016576551787923,0.006666666666666667,2.6887214436041815,69.83862442784051,-45.15955422438336,114.99817865222393,1.3038454448941492,-3.319809384846537
0.0298325614421949+0i,-0.001659989239044535,0.2862932131677826,0.4046488861710611,1.474422085692706e-05,6.79632194483526e-06,914.0620884739227,-66.56727593923742,-248.7624230620332,29.290118976387443,-61.87604684402716,647.7156511223873,74.24583866199282,-248.7624230620332,647.7156511223873,-0.9598228900876786,0.9890498651723766,0.4364618477136804,70.81419798071282,-44.1553300935109,114.9695280742237,-2.170457453203724,1.3533622922091681,-3.523819745412891,4.4719512012177685,256.223930018237,-8.094419413141402,-460.05919500023583,-0.03065003226888025,0.01,3.0065241222451333,140.01752102938758,-89.98051341302799,229.9980344424156,2.637750214886235,-6.742971490109575
0.02766803962050171+0i,0.0536977281328177,0.2863048016683712,0.4047353643950259,-2.42610464051829e-05,2.853579536610251e-05,912.8871612824032,-66.4595384746693,-248.7845124851846,29.34710405744402,-62.975321964285534,647.059615754949,68.46246328265418,-248.7845124851846,647.059615754949,-0.9599081197365484,0.9898239466495488,0.4362807586320707,70.69383083038319,-44.15925096612028,114.85308179650343,-2.229016571813811,1.3923662227123592,-3.62138279452617,4.472040235435017,256.2290313031175,-8.094330378924155,-460.0540937153553,-0.03153056703295547,0.013333333333333329,3.1657124284188036,210.84712419984245,-134.13595220871142,344.98307640855387,3.9804243070577687,-10.23942126403591
0.03083640252422884+0i,0.02669822272241618,0.2863138037481077,0.4047726696458641,-1.980549792365838e-05,3.477831078219085e-05,913.9001045304103,-64.81867892150575,-252.5325988292151,28.561333653940807,-66.13805090036675,644.2707567677611,71.77661365352823,-252.5325988292151,644.2707567677611,-0.9628420127434189,0.9887188944902896,0.4286443955927032,69.53352303409193,-44.82453629218567,114.3580593262776,-2.313978128457351,1.491697703099346,-3.8056758315566963,4.4720374625664485,256.2288724294513,-8.094333151792725,-460.05425258902153,-0.033278597538094236,0.01666666666666667,3.166264190541233,281.60113860539036,-178.293242738527,459.8943813439173,5.353288564518532,-13.81202253400544
0.03219324120827954+0i,0.04959543446568659,0.2863286140640828,0.4047805539701826,-4.948880984567694e-06,3.572608469343264e-05,907.4034202962604,-63.0021383863554,-245.8429429876055,31.878365769414398,-66.0260305764455,644.2788221356567,71.80734436239948,-245.8429429876055,644.2788221356567,-0.9611437856886084,0.9887312718666421,0.4390945308735611,70.72236854877906,-43.63712238029998,114.3594909290791,-2.490452442430707,1.5366591962726608,-4.027111638703368,4.471743752278215,256.21204406953603,-8.094626862080956,-460.07108094893687,-0.03521449427578174,0.02,3.1109054165693832,351.7148155376279,-222.7851363676799,574.4999519053079,6.795320527424384,-17.52555184704688
0.03318468727517006+0i,0.04704992781861962,0.2863450593177098,0.4048311426897868,-6.350022292878066e-06,3.8723062606382814e-05,912.5595595880659,-61.61768481316696,-246.578576443828,27.03602908766868,-65.37294105283331,650.5799352599305,63.83476290346734,-246.578576443828,650.5799352599305,-0.964724700864612,0.9902812657188654,0.4427123189619215,71.71024118985821,-43.76769731877947,115.47793850863769,-2.607573175451,1.591508710416229,-4.199081885867228,4.471686011885364,256.2087357887182,-8.094684602473809,-460.0743892297546,-0.036362632898518016,0.02333333333333333,3.0196182112349645,421.8427613290635,-267.0159657039227,688.8587270329863,8.309498977110389,-21.44194558217691
0.03328540345662357+0i,0.06797496154700866,0.2863725823099114,0.4049335404572736,-1.4205580129905688e-05,4.4117243827301866e-05,910.8666069632698,-66.85310742079464,-246.407077889945,30.35229523610884,-60.48698865086772,647.5608788968468,66.33347788768077,-246.407077889945,647.5608788968468,-0.9583613639371302,0.9905272897732686,0.4404089445591876,71.20479967872511,-43.73725632546523,114.94205600419028,-2.584912174777851,1.5877717074858133,-4.172683882263663,4.471571472433792,256.2021731615554,-8.094799141925382,-460.08095185691735,-0.03630249907928864,0.02666666666666667,2.84128765715437,493.0590661983821,-310.71837555346247,803.7774417518443,9.873582930454834,-25.55504234446221
0.03471730978774944+0i,0.0985426839943102,0.286384406296345,0.4049148035480112,-4.784220793835337e-05,2.73262586554246e-05,917.1833756951078,-64.64710407817601,-255.49855998488738,32.49023021126802,-63.06519828593913,644.8275500108592,69.6578721705882,-255.49855998488738,644.8275500108592,-0.962165142775218,0.9895488097088292,0.4244832607556915,69.10589572961,-45.35099439731752,114.4568901269275,-2.434351999012766,1.5975523173925539,-4.031904316405321,4.471283216108468,256.1856572906964,-8.095087398250705,-460.0974677277764,-0.03522640106623656,0.03,2.602254392889749,564.5165866326737,-354.4708523755848,918.9874390082583,11.463223139405859,-29.740925228527647
0.03979365138375197+0i,0.07098043880245086,0.2864567689550996,0.4049693636371808,-2.0555611937672642e-05,5.043123217773893e-05,912.5981688188344,-60.98297305113083,-249.0311951746799,25.90762713617854,-65.1608946075095,647.9129952206994,69.72153724132245,-249.0311951746799,647.9129952206994,-0.9663799705314576,0.989326258550874,0.4370837173191875,70.80151950816847,-44.203037143505675,115.0045566516741,-2.3957016742453066,1.495692335800879,-3.8913940100461857,4.471367014878811,256.1904586065654,-8.09500359948036,-460.0926664119074,-0.0338368680628233,0.03333333333333333,2.4300957742776643,634.6719343368413,-399.01497773697616,1033.686912073817,13.055885151845038,-33.84321932786214
